product_id,product_name,date,inventory_level,orders,lead_time_days
SKU539,Widget A,2025-02-25,164,19,8
SKU238,Widget A,2025-02-24,182,9,8
SKU637,Widget A,2025-02-23,173,17,10
SKU799,Widget A,2025-02-22,176,8,8
SKU275,Widget A,2025-02-21,136,15,7
SKU113,Widget A,2025-02-20,50,7,10
SKU273,Widget A,2025-02-19,127,19,9
SKU930,Widget A,2025-02-18,157,23,9
SKU755,Widget A,2025-02-17,52,8,3
SKU140,Widget A,2025-02-16,163,18,8
SKU264,Widget A,2025-02-15,191,6,6
SKU268,Widget A,2025-02-14,79,18,8
SKU396,Widget A,2025-02-13,143,18,3
SKU527,Widget A,2025-02-12,56,19,5
SKU759,Widget A,2025-02-11,69,8,5
SKU273,Widget A,2025-02-10,78,24,4
SKU498,Widget A,2025-02-09,80,8,4
SKU289,Widget A,2025-02-08,60,24,9
SKU769,Widget A,2025-02-07,152,8,5
SKU532,Widget A,2025-02-06,194,12,8
SKU331,Widget A,2025-02-05,107,19,4
SKU177,Widget A,2025-02-04,181,7,6
SKU632,Widget A,2025-02-03,97,9,10
SKU899,Widget A,2025-02-02,102,17,7
SKU554,Widget A,2025-02-01,128,7,4
SKU222,Widget A,2025-01-31,68,21,9
SKU767,Widget A,2025-01-30,127,23,3
SKU607,Widget A,2025-01-29,109,12,8
SKU948,Widget A,2025-01-28,184,12,7
SKU857,Widget A,2025-01-27,115,5,9
SKU936,Widget A,2025-01-26,139,9,4
SKU421,Widget A,2025-01-25,98,24,7
SKU759,Widget A,2025-01-24,56,24,10
SKU964,Widget A,2025-01-23,79,18,4
SKU342,Widget A,2025-01-22,111,5,10
SKU192,Widget A,2025-01-21,70,5,6
SKU230,Widget A,2025-01-20,184,7,5
SKU759,Widget A,2025-01-19,52,13,9
SKU592,Widget A,2025-01-18,151,6,9
SKU158,Widget A,2025-01-17,144,21,9
SKU300,Widget A,2025-01-16,139,20,5
SKU959,Widget A,2025-01-15,144,17,7
SKU926,Widget A,2025-01-14,59,13,6
SKU511,Widget A,2025-01-13,87,24,9
SKU499,Widget A,2025-01-12,133,21,6
SKU776,Widget A,2025-01-11,123,20,4
SKU595,Widget A,2025-01-10,129,13,9
